,Review,Review_only_text,neg,pos,neu,compound,Negative,Positive
167,This thing rocks. Easy to use and configure.  Keeps my beer right at 33 degrees,This thing rocks Easy to use and configure Keeps my beer right at degrees,0.0,0.172,0.828,0.4404,False,True
168,"It is easy to set up and use as stated....the cool thing is once its dialed in you can unplug it, and that fridge goes back to normal ,and with out any more adjustments you can plug it in to another and it works great as is. I use it for fermenting, and love it.",It is easy to set up and use as stated the cool thing is once its dialed in you can unplug it and that fridge goes back to normal and with out any more adjustments you can plug it in to another and it works great as is I use it for fermenting and love it,0.0,0.213,0.787,0.926,False,True
169,"Been using these with my reptiles for many years, never had one break or malfunction.",Been using these with my reptiles for many years never had one break or malfunction,0.0,0.0,1.0,0.0,False,False
170,When we upgraded our freezer I used this temp control to convert it to a fermentation chamber. Then when I want to cold crash the beer or wine I just lower the temp for a couple of days.  Need to get a second one and build my kegerator.,When we upgraded our freezer I used this temp control to convert it to a fermentation chamber Then when I want to cold crash the beer or wine I just lower the temp for a couple of days Need to get a second one and build my kegerator,0.108,0.029,0.863,-0.5574,True,False
171,"First unit I received died within a week; it stopped sending power to the freezer. Thanks to the excellent customer service from The Beverage Factory, I was sent another unit free of charge. This unit has been working ever since without issue. I find this item very user friendly for making a home fermentation chamber out of an old freezer. It also seems durable, despite my problems with the first one.",First unit I received died within a week it stopped sending power to the freezer Thanks to the excellent customer service from The Beverage Factory I was sent another unit free of charge This unit has been working ever since without issue I find this item very user friendly for making a home fermentation chamber out of an old freezer It also seems durable despite my problems with the first one,0.069,0.195,0.736,0.8789,False,True
172,"the cheapest reliable temperature controller i'd seen on amazon when i bought it. it can be a little inaccurate at times by 1-3 degrees, but for the most part works well.",the cheapest reliable temperature controller i d seen on amazon when i bought it it can be a little inaccurate at times by degrees but for the most part works well,0.0,0.14,0.86,0.526,False,True
173,I'm using this controller to set the temperatures in a fridge I use as a fermentation chamber for brewing. Works great! You can set it to a target temperature and adjust how much of a range is allowed above and below your target.,I m using this controller to set the temperatures in a fridge I use as a fermentation chamber for brewing Works great You can set it to a target temperature and adjust how much of a range is allowed above and below your target,0.0,0.106,0.894,0.6588,False,True
174,"I used mine to turn a chest freezer into a refrigerator. When you open a standard refrigerator the cold air literally falls to the floor and thus the refrigerator cycles much more often.  When you open a box or chest freezer (which is usually better insulated) most of the cold air stays in the bottom of the box when you open it instead of it escaping from the bottom, like your fridge. Many people use this conversion as an energy saving device and all it takes is pluging it in and setting the temp to somewhere above freezing. I've heard it said you can save 70-90% of energy consumption using this configuration, so if you are off the grid, it might really pay off for you. However, it is more difficult to arrange and stack your cold items for rotation and easy access. Hope this helps.",I used mine to turn a chest freezer into a refrigerator When you open a standard refrigerator the cold air literally falls to the floor and thus the refrigerator cycles much more often When you open a box or chest freezer which is usually better insulated most of the cold air stays in the bottom of the box when you open it instead of it escaping from the bottom like your fridge Many people use this conversion as an energy saving device and all it takes is pluging it in and setting the temp to somewhere above freezing I ve heard it said you can save of energy consumption using this configuration so if you are off the grid it might really pay off for you However it is more difficult to arrange and stack your cold items for rotation and easy access Hope this helps,0.037,0.145,0.818,0.9424,False,True
175,"Two year's worth of service without a hiccup, and still going strong!  Easy to set up.  I use mine to control the temp in my kegerator which I built from a chest freezer.  I've also used it to maintain lagering temp.  Go for the digital model - you won't be sorry.",Two year s worth of service without a hiccup and still going strong Easy to set up I use mine to control the temp in my kegerator which I built from a chest freezer I ve also used it to maintain lagering temp Go for the digital model you won t be sorry,0.0,0.186,0.814,0.8231,False,True
176,"have 2 of these on line, one for a kegurator, the other i use to control fermentation for home brewing beers.easy to set up and adjust temp as needed.  hot or cold control.",have of these on line one for a kegurator the other i use to control fermentation for home brewing beers easy to set up and adjust temp as needed hot or cold control,0.0,0.0,1.0,0.0,False,False
177,Worked beyond my expectations. It actually stays exactly at the right temp. I am using it to ferment beer. It is in my mini fridge. I am using it with a Mr. Beer kit. We left the house for ten days ant it got to the 90's in the house while we were gone. The mini fridge stayed at 72 degrees the entire time. I will see what the beer tastes like in a week. That will be the real test.,Worked beyond my expectations It actually stays exactly at the right temp I am using it to ferment beer It is in my mini fridge I am using it with a Mr Beer kit We left the house for ten days ant it got to the s in the house while we were gone The mini fridge stayed at degrees the entire time I will see what the beer tastes like in a week That will be the real test,0.0,0.032,0.968,0.3612,False,True
178,I love this product. Bought a $300 freezer and turned it into a wine fridge. Easy to install and operate. Calling them for tech support is practically impossible.,I love this product Bought a freezer and turned it into a wine fridge Easy to install and operate Calling them for tech support is practically impossible,0.0,0.308,0.692,0.8689,False,True
179,Works great on my upright freezer that I use to cellar beer.,Works great on my upright freezer that I use to cellar beer,0.0,0.291,0.709,0.6249,False,True
180,"Great brand new control unit, and easy installation.  It is the perfect solution for the homebrewer for lagering or consistent low-temperature carbonation without the risk of freezing.  Just a suggestion - the factory default setting is +/- 7 degrees F.  Change this to +/- 2 or so for a more stable environment.",Great brand new control unit and easy installation It is the perfect solution for the homebrewer for lagering or consistent low temperature carbonation without the risk of freezing Just a suggestion the factory default setting is degrees F Change this to or so for a more stable environment,0.024,0.298,0.678,0.9448,False,True
181,used it to hack a sous-vide cooker out of a crockpot. Works great!,used it to hack a sous vide cooker out of a crockpot Works great,0.0,0.305,0.695,0.6588,False,True
182,"We use this to regulate a bread proofing box""s temperature.  It works great.  We live in Oregon on the coast where it is colder and really need it.  My wife makes artisan breads and feels much more secure using this controller in the proofing box.",We use this to regulate a bread proofing box s temperature It works great We live in Oregon on the coast where it is colder and really need it My wife makes artisan breads and feels much more secure using this controller in the proofing box,0.0,0.139,0.861,0.7778,False,True
183,"Used this product to keep a chest freezer right around 29 degrees and created a keezer (freezer kegerator) out of it, does the job well and can limit cycles to keep the freezer running for a long time.",Used this product to keep a chest freezer right around degrees and created a keezer freezer kegerator out of it does the job well and can limit cycles to keep the freezer running for a long time,0.0,0.111,0.889,0.4767,False,True
184,Works exactly as it is supposed to. just like some others have said directions can be confusing. there is a review by claws dat scratch that is very helpful with understanding the setup. if you need some help with setup check out their review.http://www.amazon.com/review/RCZQX32L8IW6U/ref=cm_cr_dp_cmt?ie=UTF8&ASIN=B00368D6JA&nodeID=228013&store=hi#wasThisHelpful,Works exactly as it is supposed to just like some others have said directions can be confusing there is a review by claws dat scratch that is very helpful with understanding the setup if you need some help with setup check out their review http www amazon com review RCZQX L IW U ref cm_cr_dp_cmt ie UTF ASIN B D JA nodeID store hi wasThisHelpful,0.039,0.169,0.793,0.7501,False,True
185,"Use it in sous vide cooking and works like a charm.  Connected it to a hot plate with a huge pot of water with a vegetable steamer to hold the food above the heating element surface.  What resulted was mind blowing for me; was able to do perfectly cooked hard boiled eggs, poached eggs in-shell, exactly cooked steaks (pan seared afterwards obviously), and the best chicken I have ever tasted in my life.  Can also be used in a kegerator, but a perfectly chilled beer does not bring quite the eureka moment that a perfectly cooked piece of chicken does.Total cost of my entire sous vide rig was only 90 dollars with this control unite vice the 200+ for the ""professional"" gear.  This is an industrial grade temperature control unite for 1/3 of the price.  Go with this and you won't be sorry.",Use it in sous vide cooking and works like a charm Connected it to a hot plate with a huge pot of water with a vegetable steamer to hold the food above the heating element surface What resulted was mind blowing for me was able to do perfectly cooked hard boiled eggs poached eggs in shell exactly cooked steaks pan seared afterwards obviously and the best chicken I have ever tasted in my life Can also be used in a kegerator but a perfectly chilled beer does not bring quite the eureka moment that a perfectly cooked piece of chicken does Total cost of my entire sous vide rig was only dollars with this control unite vice the for the professional gear This is an industrial grade temperature control unite for of the price Go with this and you won t be sorry,0.019,0.155,0.826,0.9658,False,True
186,This item has worked perfectly.  I bought a chest freezer to use as my kegerator and it keeps the temp right where I put it.,This item has worked perfectly I bought a chest freezer to use as my kegerator and it keeps the temp right where I put it,0.0,0.167,0.833,0.6369,False,True
187,"I order this temp controller to regulate a refiguator at a wider tempature range. This first unit arrived and I installed it. It worked for the first cycle, but would not cool after that. Exchanged messages with the vendor and determined it was defective. They sent me a replacment quickly and has worked perfectly. Temp control is very accurate with plenty of options for diffrent setups with the digital readout. Other temp controllers I looked at did these functions or required to be hard wired into the system making them perminent, not what I was looking for.",I order this temp controller to regulate a refiguator at a wider tempature range This first unit arrived and I installed it It worked for the first cycle but would not cool after that Exchanged messages with the vendor and determined it was defective They sent me a replacment quickly and has worked perfectly Temp control is very accurate with plenty of options for diffrent setups with the digital readout Other temp controllers I looked at did these functions or required to be hard wired into the system making them perminent not what I was looking for,0.078,0.087,0.835,0.4601,False,True
188,"I attached this device to my deep freezer. The results were great. It maintains good temperature range with little work, just set it up and go. I use my chest freezer for lagering my home brew and have never veered off temperature with this thing. If you are looking for accurate results, I highly recommend getting one.",I attached this device to my deep freezer The results were great It maintains good temperature range with little work just set it up and go I use my chest freezer for lagering my home brew and have never veered off temperature with this thing If you are looking for accurate results I highly recommend getting one,0.0,0.161,0.839,0.8687,False,True
189,Great product. be sure and read the instructions as you may need to change the jumpers for your application.,Great product be sure and read the instructions as you may need to change the jumpers for your application,0.0,0.274,0.726,0.7506,False,True
190,"This is the second unit I purchased and thru Amazon is the cheapest place to get them. It is very accurate and easy to set up. The issue with overshoot is a function of the freezer, that by the time it hits the set temp and shuts off the compressor, it is on its way down and can end up 2-5 degrees lower than desired. Overall, I am satisfied with the unit",This is the second unit I purchased and thru Amazon is the cheapest place to get them It is very accurate and easy to set up The issue with overshoot is a function of the freezer that by the time it hits the set temp and shuts off the compressor it is on its way down and can end up degrees lower than desired Overall I am satisfied with the unit,0.029,0.129,0.843,0.7624,False,True
191,"Nice, easy to use for home brewing.  Instructions pretty clear.  Unfortunately, my unit seems to come with Fahrenheit only rather than the option to switch between F and Centigrade as the manual suggests.",Nice easy to use for home brewing Instructions pretty clear Unfortunately my unit seems to come with Fahrenheit only rather than the option to switch between F and Centigrade as the manual suggests,0.059,0.281,0.66,0.8442,False,True
192,"I use this to control a  aquaponics tank for Tillipa, works perfectly once you get it set up, I called johnson controls and they were the greatest to deal with, will buy more of there products if needed. Pay attention to the instructions and the jumper location and you will have no trouble, this unit will work for cooling as well as heating with the jumpers in the correct location.If you use the sensor submersed you must put it in some kind of tube, I took a piece of 1/2 copper and sweated a cap on the end, dropped the sensor down the tube and filled it with sand, works perfectly. Hope this was help to someone.",I use this to control a aquaponics tank for Tillipa works perfectly once you get it set up I called johnson controls and they were the greatest to deal with will buy more of there products if needed Pay attention to the instructions and the jumper location and you will have no trouble this unit will work for cooling as well as heating with the jumpers in the correct location If you use the sensor submersed you must put it in some kind of tube I took a piece of copper and sweated a cap on the end dropped the sensor down the tube and filled it with sand works perfectly Hope this was help to someone,0.049,0.158,0.793,0.9432,False,True
193,Bought this controller to use on a Danby Kegerator.  The Danby had wide temperature variations and was consistently too warm resulting in foamy beer.  The controller worked perfectly to remedy the problem and give me cold beer with appropriate foam.  One note for anyone using the controller for a similar situation.  Some minor wiring is required to take control away from the Danby controller.  Detailed instructions are available online by searching for 'Danby Kegerator Improvements'.  Took about 5 minutes and was well worth the effort and the $.,Bought this controller to use on a Danby Kegerator The Danby had wide temperature variations and was consistently too warm resulting in foamy beer The controller worked perfectly to remedy the problem and give me cold beer with appropriate foam One note for anyone using the controller for a similar situation Some minor wiring is required to take control away from the Danby controller Detailed instructions are available online by searching for Danby Kegerator Improvements Took about minutes and was well worth the effort and the,0.029,0.109,0.862,0.7506,False,True
194,"I, like others here bought this product as a DIY sous vide setup. Im giving the product 5 stars because it did exactly what it said it would do. However, I ended up returning it. Heres why: I used this in conduction with a (traditional Hamilton Beach) crock pot and it worked fairly well. The problem was, with my crockpot, the controller would shut off right at 130 degrees (for steak at medium rare) but the temperature would climb up to 134F before reversing course and falling back down. I contribute that to the design of the crockpot (where the heating element is outside of the thick porcelain), and so the product does exactly what its supposed to do but theres a 4 degree swing with my setup. Considering the Sous Vide Supreme says itll keep the water within a half a degree F of the set temp, 4 degree swing was too much for me. I ended up setting the temp at 126 (to allow it to reach a max temp of 130.)So if A, you have a different heating element to keep the temp swings down or B, dont mind 4 degree temp swings, this might work great for you.",I like others here bought this product as a DIY sous vide setup I m giving the product stars because it did exactly what it said it would do However I ended up returning it Here s why I used this in conduction with a traditional Hamilton Beach crock pot and it worked fairly well The problem was with my crockpot the controller would shut off right at degrees for steak at medium rare but the temperature would climb up to F before reversing course and falling back down I contribute that to the design of the crockpot where the heating element is outside of the thick porcelain and so the product does exactly what it s supposed to do but there s a degree swing with my setup Considering the Sous Vide Supreme says it ll keep the water within a half a degree F of the set temp degree swing was too much for me I ended up setting the temp at to allow it to reach a max temp of So if A you have a different heating element to keep the temp swings down or B don t mind degree temp swings this might work great for you,0.019,0.095,0.886,0.936,False,True
195,"Bought this to control the temp in a chest freezer turned into a kegerator. Works perfectly, solid construction, and simple to set up and run. I've since bought several more for friends' kegerators.",Bought this to control the temp in a chest freezer turned into a kegerator Works perfectly solid construction and simple to set up and run I ve since bought several more for friends kegerators,0.0,0.247,0.753,0.8473,False,True
196,I needed a temperature control unit to turn a upright commercial freezer into a termperature control chamber for my conical fermenter.  What I especially appreciate about this unit versus the analog unit is the ability to see the actual ambient temperature where the thermocouple is located.  Also the wide range of temperature and Anti Cycle settings are a big plus.,I needed a temperature control unit to turn a upright commercial freezer into a termperature control chamber for my conical fermenter What I especially appreciate about this unit versus the analog unit is the ability to see the actual ambient temperature where the thermocouple is located Also the wide range of temperature and Anti Cycle settings are a big plus,0.039,0.09,0.87,0.4576,False,True
197,Didn't work. Returned,Didn t work Returned,0.0,0.0,1.0,0.0,False,False
198,"Purchased this last christmas as part of a keezer build. Quick and easy to install, and does a great job keeping the temperature regulated inside the chest freezer. I have never had anything remotely come close to freezing. Worth every penny.",Purchased this last christmas as part of a keezer build Quick and easy to install and does a great job keeping the temperature regulated inside the chest freezer I have never had anything remotely come close to freezing Worth every penny,0.032,0.201,0.767,0.8176,False,True
199,Used it to convert a stand up freezer into a refrigerator. Accurate and reliable. We used another relay instead of the built in one as the freezer pulled 25amps.,Used it to convert a stand up freezer into a refrigerator Accurate and reliable We used another relay instead of the built in one as the freezer pulled amps,0.0,0.0,1.0,0.0,False,False
200,great control for my keginator. works great!,great control for my keginator works great,0.0,0.629,0.371,0.8588,False,True
201,I have 4 kegs of homebrew on tap at all times and this makes that all possible. I have helped several friends and family set up kegerators with this thermostat and a freezer as well. EricShirk.com,I have kegs of homebrew on tap at all times and this makes that all possible I have helped several friends and family set up kegerators with this thermostat and a freezer as well EricShirk com,0.0,0.148,0.852,0.6369,False,True
202,"Love this controller!  I use it to control the temperature of the beer I make, to ensure it stays at a stable temperature in the fridge.  Works great!",Love this controller I use it to control the temperature of the beer I make to ensure it stays at a stable temperature in the fridge Works great,0.0,0.395,0.605,0.9285,False,True
203,"i AM USING THE JOHNSON TO CONTROL THE TEMPERATURE OF MY FERMENTING BEER.  THE UNIT IS CONNECTED TO A PLASTIC HEAT WRAP FOR THE CARBOY. I WATCHED FOR A FEW DAYS TO SEE IT WAS ACCURATE.  THE ACCURACY ENDED UP WITHIN 1 DEGREE.  THE UNIT DOES HAVE TO BE OPENED UP TO MAKE THE CHANGE FROM HEATING TO COOLING. BUT THIS IS ONLY A 5+ MINUTE DEAL. COULD HAVE MADE A DIGITAL THERMOSTAT CONTROL UNIT, BUT FELT BY SHOPPING AROUND I WAS WITHIN $20 OF THE COST DIFFERENCE.",i AM USING THE JOHNSON TO CONTROL THE TEMPERATURE OF MY FERMENTING BEER THE UNIT IS CONNECTED TO A PLASTIC HEAT WRAP FOR THE CARBOY I WATCHED FOR A FEW DAYS TO SEE IT WAS ACCURATE THE ACCURACY ENDED UP WITHIN DEGREE THE UNIT DOES HAVE TO BE OPENED UP TO MAKE THE CHANGE FROM HEATING TO COOLING BUT THIS IS ONLY A MINUTE DEAL COULD HAVE MADE A DIGITAL THERMOSTAT CONTROL UNIT BUT FELT BY SHOPPING AROUND I WAS WITHIN OF THE COST DIFFERENCE,0.0,0.0,1.0,0.0,False,False
204,Absolutely perfect for my needs.  Easy to use and has held up great.  I have no issues at all recommending this product to those in need of a temperature controller.,Absolutely perfect for my needs Easy to use and has held up great I have no issues at all recommending this product to those in need of a temperature controller,0.059,0.296,0.645,0.8687,False,True
205,"this product works exactly as advertised. despite what others may post about the manual being too technical, setting up the unit was a breeze (desired temp, offset, etc aren't really difficult concepts). In hindsight, I do wish the chord for the temperature element was a few feet longer. The unit has been in use for about a month now on an upright freezer and functions flawlessly. I would recommend this to anyone wanting to run a freezer at warmer temps. Works great for beer fermentation chamber",this product works exactly as advertised despite what others may post about the manual being too technical setting up the unit was a breeze desired temp offset etc aren t really difficult concepts In hindsight I do wish the chord for the temperature element was a few feet longer The unit has been in use for about a month now on an upright freezer and functions flawlessly I would recommend this to anyone wanting to run a freezer at warmer temps Works great for beer fermentation chamber,0.0,0.174,0.826,0.9277,False,True
206,GREAT BUY PRODUCT WAS EVERYTHING IN DESCRIPTION AND FOR THE BEST PRICE I COULD FIND. SATISFIED MY NEED FOR THE PRODUCT.THANKS! RECOMMENDED!,GREAT BUY PRODUCT WAS EVERYTHING IN DESCRIPTION AND FOR THE BEST PRICE I COULD FIND SATISFIED MY NEED FOR THE PRODUCT THANKS RECOMMENDED,0.0,0.442,0.558,0.9258,False,True
207,As described,As described,0.0,0.0,1.0,0.0,False,False
208,"I purchased the Johnson Controls Digital Thermostat Control Unit to do the temperature control on a deep freezer to kegerator conversion project.  It works exactly as like you expect it to.  Programming it was not trivial, but the manual is very useful, I had it working in about 20 minutes.  You will have to go through all the settings and what they mean (refer to manual) to get it set correctly (it's not obvious how to do it without it), but once it's set it works perfectly and doesn't require resetting, ever if it gets unplugged.",I purchased the Johnson Controls Digital Thermostat Control Unit to do the temperature control on a deep freezer to kegerator conversion project It works exactly as like you expect it to Programming it was not trivial but the manual is very useful I had it working in about minutes You will have to go through all the settings and what they mean refer to manual to get it set correctly it s not obvious how to do it without it but once it s set it works perfectly and doesn t require resetting ever if it gets unplugged,0.0,0.126,0.874,0.9166,False,True
209,Way better than the other kind I've been using. The override system works much more efficiently,Way better than the other kind I ve been using The override system works much more efficiently,0.0,0.417,0.583,0.8516,False,True
210,Bought for home brewing to control temp! It is like a dream! Also use it for sous vide in my crock pot!,Bought for home brewing to control temp It is like a dream Also use it for sous vide in my crock pot,0.0,0.221,0.779,0.6571,False,True
211,I use this to control the temperature of a heating mat placed under a 5 gallon carboy for brewing. It does the job perfectly!,I use this to control the temperature of a heating mat placed under a gallon carboy for brewing It does the job perfectly,0.0,0.191,0.809,0.6696,False,True
212,"Made a Kimchi Refrigerator out of a freezer with this, it is doing the job.",Made a Kimchi Refrigerator out of a freezer with this it is doing the job,0.0,0.0,1.0,0.0,False,False
213,"It is so nice to walk out and have a home brew, on tap, at 40 degrees on a 90 degree day. I set this for storage at 68 degrees otherwise and it works great. Simple plug in operation and lcd readout.",It is so nice to walk out and have a home brew on tap at degrees on a degree day I set this for storage at degrees otherwise and it works great Simple plug in operation and lcd readout,0.0,0.173,0.827,0.8279,False,True
214,"Been working great in my kegerator and purchased my second one,  for use in my deep freeze to lager my homebrew beer.  Very handy and accurate.",Been working great in my kegerator and purchased my second one for use in my deep freeze to lager my homebrew beer Very handy and accurate,0.0,0.181,0.819,0.6486,False,True
215,Works great.  Like the fact that it has an offset so the compressor isn't kicking on every time the temperature changes 1 degree.  Very easy to use and accurate.,Works great Like the fact that it has an offset so the compressor isn t kicking on every time the temperature changes degree Very easy to use and accurate,0.0,0.281,0.719,0.8687,False,True
216,It does exactly what it is supposed to do. The instructions were initially difficult to understand but once you reexamined what they were saying you just pull out the connector and viola... a perfect way to ferment beer at a temperature you desire without any massive fluctuations.,It does exactly what it is supposed to do The instructions were initially difficult to understand but once you reexamined what they were saying you just pull out the connector and viola a perfect way to ferment beer at a temperature you desire without any massive fluctuations,0.033,0.164,0.802,0.8338,False,True
217,"This is quite expensive, however I have never been so happy with a thermostat. This thing is priceless",This is quite expensive however I have never been so happy with a thermostat This thing is priceless,0.0,0.24,0.76,0.6948,False,True
218,Holds temp like it should,Holds temp like it should,0.0,0.385,0.615,0.3612,False,True
219,I used this on a refrigerator to maintain a constant temperature to brew beer. I was very easy. Just plugged the refrigerator into the device.  Plug the device into the wall. Made a few control program changes for the temperature I wanted. It has maintained the temperature perfectly. There have been no problems with this unit.,I used this on a refrigerator to maintain a constant temperature to brew beer I was very easy Just plugged the refrigerator into the device Plug the device into the wall Made a few control program changes for the temperature I wanted It has maintained the temperature perfectly There have been no problems with this unit,0.084,0.127,0.789,0.5413,False,True
220,I bought this product for home brewing and use it with a mini fridge.  It is easy to adjust the temperatures on it and helps me keep my wort anywhere from 35 degrees to 65 degrees.,I bought this product for home brewing and use it with a mini fridge It is easy to adjust the temperatures on it and helps me keep my wort anywhere from degrees to degrees,0.0,0.147,0.853,0.6705,False,True
221,Received the product exactly as advertised.Instructions are a little technical and do not explain everything perfectly but overall this is very easy to set up and can even be mounted to the wall or freezer.  I'm using it on a freezer to make it a refrigerator for extra efficiency.So far so good!,Received the product exactly as advertised Instructions are a little technical and do not explain everything perfectly but overall this is very easy to set up and can even be mounted to the wall or freezer I m using it on a freezer to make it a refrigerator for extra efficiency So far so good,0.038,0.167,0.795,0.8594,False,True
222,Using it in a chest freezer to control fermentation temps in south Texas. Aside from good sanitation practices fermentation control is crucial for home brewing and fermenting in ambient temps that don't coincide with your desired yeast temps are hard to control without a Johnson. Get one. Your home brew will thank you for it.,Using it in a chest freezer to control fermentation temps in south Texas Aside from good sanitation practices fermentation control is crucial for home brewing and fermenting in ambient temps that don t coincide with your desired yeast temps are hard to control without a Johnson Get one Your home brew will thank you for it,0.024,0.13,0.846,0.7269,False,True
223,I used this to convert my chest freezer into a kegerator. Its small enough to store inside the motor housing on the chest freezer. Its completely hidden and keeps my beer super cold.,I used this to convert my chest freezer into a kegerator Its small enough to store inside the motor housing on the chest freezer Its completely hidden and keeps my beer super cold,0.0,0.115,0.885,0.5994,False,True
224,"If you are converting a freezer to a keezer, this is what you need!  Really easy to program, adjust, and the temp probe cable is long enough to place it where you want it.",If you are converting a freezer to a keezer this is what you need Really easy to program adjust and the temp probe cable is long enough to place it where you want it,0.0,0.138,0.862,0.5838,False,True
225,This is a great product.  I have had no issues with this and the functionality is more than adequate for my chest freezer conversion to a kegerator.  Always holds a tight temperature tolerance.,This is a great product I have had no issues with this and the functionality is more than adequate for my chest freezer conversion to a kegerator Always holds a tight temperature tolerance,0.062,0.238,0.701,0.7414,False,True
226,"Easy to use, we are going to purchase a second one for our electric smoker.  This is a better fit than the controller that came with it",Easy to use we are going to purchase a second one for our electric smoker This is a better fit than the controller that came with it,0.0,0.274,0.726,0.8074,False,True
227,"I have two of these for controlling beer fermentation and keezer temps.  Ultra simple, ultra reliable. Very happy with them.",I have two of these for controlling beer fermentation and keezer temps Ultra simple ultra reliable Very happy with them,0.0,0.182,0.818,0.6115,False,True
228,Easy to hook up and has successfully turned our chest freezer into a keezer!,Easy to hook up and has successfully turned our chest freezer into a keezer,0.0,0.368,0.632,0.75,False,True
229,Has turned fridge into a lager tun its awesome.,Has turned fridge into a lager tun its awesome,0.0,0.369,0.631,0.6249,False,True
230,"We have been using this for about a month now. With a very large household, I needed a drink refrigerator that wouldn't cost a lot to purchase or to operate.Instead of buying a non-energy star $500 upright refrigerator/freezer that holds 14.2 cu ft in the frig section and costs $51/yr to operate under optimal conditions ($150/yr under heavy use), this control unit allowed me to take an energy star rated $300 15 cu ft chest freezer that costs $15/yr to operate as a freezer and turn it into a drink refrigerator. Based on the Kill-A-Watt data, it will cost me about $6/yr to operate it with heavy use.It does everything that it says it will do and does it well. It holds the temperature well while minimizing the wear and tear of the compressor.",We have been using this for about a month now With a very large household I needed a drink refrigerator that wouldn t cost a lot to purchase or to operate Instead of buying a non energy star upright refrigerator freezer that holds cu ft in the frig section and costs yr to operate under optimal conditions yr under heavy use this control unit allowed me to take an energy star rated cu ft chest freezer that costs yr to operate as a freezer and turn it into a drink refrigerator Based on the Kill A Watt data it will cost me about yr to operate it with heavy use It does everything that it says it will do and does it well It holds the temperature well while minimizing the wear and tear of the compressor,0.0,0.067,0.933,0.7783,False,True
231,home made kegerator - great solid product,home made kegerator great solid product,0.0,0.588,0.412,0.6908,False,True
232,"I bought this unit to convert a freezer to a 52 F lab chamber.  It set up easily and it works very well with a clear display.  I would have preferred more mounting options, as it is I just used clear packing tape to mount it to the side of the stainless steel freezer.Works well, solid construction, clear instructions, recommended.",I bought this unit to convert a freezer to a F lab chamber It set up easily and it works very well with a clear display I would have preferred more mounting options as it is I just used clear packing tape to mount it to the side of the stainless steel freezer Works well solid construction clear instructions recommended,0.0,0.299,0.701,0.9449,False,True
233,"I use this for controlling a mini-fridge that I use for homebrewing. Super easy to use. You just plug in both ends, set the temp settings on the keypad, and you are set!",I use this for controlling a mini fridge that I use for homebrewing Super easy to use You just plug in both ends set the temp settings on the keypad and you are set,0.0,0.202,0.798,0.7959,False,True
234,had this for a while now.  works great no problems,had this for a while now works great no problems,0.327,0.273,0.4,0.0516,False,False
235,Well worth the money.  The most accurate thermostat so far.  The analog one isn't bad but this one is a little more reliable.,Well worth the money The most accurate thermostat so far The analog one isn t bad but this one is a little more reliable,0.0,0.206,0.794,0.4451,False,True
236,I use it to control a 1500 watt heater in the chicken coop in winter.  Keeps a stable temperature.  Easy to program.,I use it to control a watt heater in the chicken coop in winter Keeps a stable temperature Easy to program,0.0,0.231,0.769,0.6249,False,True
237,Great unt have used it befor to control water temperature in our ultrasonic tanks,Great unt have used it befor to control water temperature in our ultrasonic tanks,0.0,0.24,0.76,0.6249,False,True
238,"This works great on my chest freezer that I'm using as a fermentation chamber. It's a bit bulky, but overall it's pretty simple to use and is very accurate. Highly recommended for any homebrewers looking for a relatively inexpensive way to control temps.",This works great on my chest freezer that I m using as a fermentation chamber It s a bit bulky but overall it s pretty simple to use and is very accurate Highly recommended for any homebrewers looking for a relatively inexpensive way to control temps,0.0,0.211,0.789,0.8716,False,True
239,BEST THERE IS GOOD PRICE,BEST THERE IS GOOD PRICE,0.0,0.703,0.297,0.7964,False,True
240,Got this for a DIY sous vide setup.  Works flawlessly.  Excellent build quality.,Got this for a DIY sous vide setup Works flawlessly Excellent build quality,0.0,0.355,0.645,0.6705,False,True
241,Hooked it up to a fermwrap for wine making.  Changed the jumpers for heating and it appears to work like a champ.  Holding steady at 72 degrees.,Hooked it up to a fermwrap for wine making Changed the jumpers for heating and it appears to work like a champ Holding steady at degrees,0.0,0.196,0.804,0.6808,False,True
242,"Easy installation. Keeps your temperature floating around your desired temperature with minimal intervention on your part. Plus there is no need to install anything else to override your deep freezer's setup. Unlike other reviews, I haven't had a problem with short circuiting or sporadic failure after months of use.",Easy installation Keeps your temperature floating around your desired temperature with minimal intervention on your part Plus there is no need to install anything else to override your deep freezer s setup Unlike other reviews I haven t had a problem with short circuiting or sporadic failure after months of use,0.1,0.133,0.767,0.1921,False,True
243,keeping my beer cold!!!! :),keeping my beer cold,0.0,0.51,0.49,0.6331,False,True
244,Our fridge broke and we were able to use this to regulate the temperature until we could get a new one.,Our fridge broke and we were able to use this to regulate the temperature until we could get a new one,0.128,0.0,0.872,-0.4215,True,False
245,Works Great,Works Great,0.0,0.804,0.196,0.6249,False,True
246,Works great with a thermowell but is a little bit of a pain to open up and move the jumper if you want to switch between heat mode and fridge mode frequently.  The versatility is awesome to have.,Works great with a thermowell but is a little bit of a pain to open up and move the jumper if you want to switch between heat mode and fridge mode frequently The versatility is awesome to have,0.091,0.216,0.693,0.6804,False,True
247,Works AWSOME !,Works AWSOME,0.0,0.0,1.0,0.0,False,False
248,Work very well to maintain cooler temperatures in a chest freezer. Works great as a keg era to controller.,Work very well to maintain cooler temperatures in a chest freezer Works great as a keg era to controller,0.0,0.302,0.698,0.7574,False,True
